student_id,exam_year,exam_type,session_id,category,total_marks,actual_rank,rank_min,rank_max,normalized_marks
129,2025,TS_EAMCET,ALL,OC,129,218,36,379,129.0
130,2025,TS_EAMCET,ALL,OC,130,198,33,354,130.0
131,2025,TS_EAMCET,ALL,OC,131,160,28,324,131.0
132,2025,TS_EAMCET,ALL,OC,132,162,26,305,132.0
133,2025,TS_EAMCET,ALL,OC,133,186,24,290,133.0
134,2025,TS_EAMCET,ALL,OC,134,154,22,268,134.0
135,2025,TS_EAMCET,ALL,OC,135,129,21,249,135.0
136,2025,TS_EAMCET,ALL,OC,136,133,16,233,136.0
137,2025,TS_EAMCET,ALL,OC,137,127,11,221,137.0
138,2025,TS_EAMCET,ALL,OC,138,115,10,201,138.0
139,2025,TS_EAMCET,ALL,OC,139,122,10,190,139.0
140,2025,TS_EAMCET,ALL,OC,140,117,9,173,140.0
141,2025,TS_EAMCET,ALL,OC,141,111,8,157,141.0
142,2025,TS_EAMCET,ALL,OC,142,95,6,141,142.0
143,2025,TS_EAMCET,ALL,OC,143,92,6,125,143.0
144,2025,TS_EAMCET,ALL,OC,144,92,5,120,144.0
145,2025,TS_EAMCET,ALL,OC,145,75,5,108,145.0
146,2025,TS_EAMCET,ALL,OC,146,65,4,96,146.0
147,2025,TS_EAMCET,ALL,OC,147,60,3,83,147.0
148,2025,TS_EAMCET,ALL,OC,148,56,2,79,148.0
149,2025,TS_EAMCET,ALL,OC,149,43,2,64,149.0
150,2025,TS_EAMCET,ALL,OC,150,32,1,52,150.0
151,2025,TS_EAMCET,ALL,OC,151,28,1,43,151.0
152,2025,TS_EAMCET,ALL,OC,152,25,1,35,152.0
153,2025,TS_EAMCET,ALL,OC,153,20,2,27,153.0
154,2025,TS_EAMCET,ALL,OC,154,16,11,20,154.0
155,2025,TS_EAMCET,ALL,OC,155,10,1,15,155.0
156,2025,TS_EAMCET,ALL,OC,156,6,1,10,156.0
157,2025,TS_EAMCET,ALL,OC,157,4,3,6,157.0
158,2025,TS_EAMCET,ALL,OC,158,25,1,100,158.0
159,2025,TS_EAMCET,ALL,OC,159,25,1,100,159.0
160,2025,TS_EAMCET,ALL,OC,160,25,1,100,160.0
